ticker,name,logo,weburl,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,last_processing_date,total_grade,total_level,cik
dis,Walt Disney Co,https://static.finnhub.io/logo/ef50b4a2b263c847211b567a01edb702cae8b9ef46ca1f6856ca4432a70e9f52.png,https://thewaltdisneycompany.com/,A,High,BB,Medium,BB,Medium,60,31,62,58,04/19/2022,BBB,High,1744489
gm,General Motors Co,https://static.finnhub.io/logo/9253db78-80c9-11ea-920d-00000000092a.png,https://www.gm.com/,A,High,BB,Medium,B,Medium,60,28,45,50,04/17/2022,BBB,High,1467858
gww,WW Grainger Inc,https://static.finnhub.io/logo/f153dcda-80eb-11ea-bc2e-00000000092a.png,https://www.grainger.com/,B,Medium,BB,Medium,B,Medium,11,44,41,30,04/19/2022,BB,Medium,277135
mhk,Mohawk Industries Inc,https://static.finnhub.io/logo/26868a62-80ec-11ea-9712-00000000092a.png,https://mohawkind.com/,A,High,B,Medium,BB,Medium,71,27,57,61,04/18/2022,BBB,High,851968
lyv,Live Nation Entertainment Inc,https://static.finnhub.io/logo/1cd144d2-80ec-11ea-b50a-00000000092a.png,https://www.livenationentertainment.com/,BBB,High,BB,Medium,B,Medium,56,30,44,48,04/18/2022,BBB,High,1335258
lvs,Las Vegas Sands Corp,https://static.finnhub.io/logo/7256a9be-8279-11ea-874d-00000000092a.png,https://www.sands.com/,A,High,BB,Medium,BB,Medium,67,31,60,62,04/18/2022,BBB,High,1300514
clx,Clorox Co,https://static.finnhub.io/logo/a67c34fe-80eb-11ea-a87f-00000000092a.png,https://www.thecloroxcompany.com/,A,High,BB,Medium,BB,Medium,69,37,68,70,04/16/2022,A,High,21076
aacg,ATA Creativity Global,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AACG.svg,http://www.ata.net.cn,B,Medium,B,Medium,B,Medium,1,8,32,1,07/01/2022,B,Medium,1420529
aal,American Airlines Group Inc,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AAL.png,https://americanairlines.gcs-web.com/,B,Medium,B,Medium,B,Medium,13,10,48,16,04/16/2022,B,Medium,6201
aame,Atlantic American Corp,https://static.finnhub.io/logo/6b536b3e-826a-11ea-bc66-00000000092a.png,http://www.atlam.com/,B,Medium,B,Medium,BB,Medium,4,12,56,15,04/16/2022,B,Medium,8177
aaoi,Applied Optoelectronics Inc,https://static.finnhub.io/logo/7afdb95a-80ce-11ea-849c-00000000092a.png,http://ao-inc.com/,BB,Medium,B,Medium,B,Medium,21,19,36,20,04/16/2022,BB,Medium,1158114
aaon,Aaon Inc,https://static.finnhub.io/logo/8819421c-80df-11ea-80b9-00000000092a.png,https://www.aaon.com/,A,High,BB,Medium,B,Medium,58,28,37,45,04/16/2022,BBB,High,824142
aapl,Apple Inc,https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png,https://www.apple.com/,BB,Medium,B,Medium,B,Medium,30,24,45,31,04/16/2022,BB,Medium,320193
aatc,Autoscope Technologies Corp,Logo Not Provided,Url Not Provided,BBB,High,B,Medium,B,Medium,40,25,41,36,06/11/2022,BBB,High,943034
aaww,Atlas Air Worldwide Holdings Inc,https://static.finnhub.io/logo/8b74bf8a-80df-11ea-8463-00000000092a.png,https://www.atlasairworldwide.com/,A,High,B,Medium,B,Medium,62,16,40,43,04/16/2022,BBB,High,1135185
aaci,Armada Acquisition Corp I,Logo Not Provided,Url Not Provided,B,Medium,B,Medium,B,Medium,1,8,31,1,06/20/2022,B,Medium,1844817
aadi,Aadi Bioscience Inc,https://static.finnhub.io/logo/358b0921e9d761a529cffa812e99b140f4bb9c2e1e63bfeee3a4ea7165257e7b.png,https://aadibio.com/,B,Medium,B,Medium,B,Medium,0,8,32,0,06/11/2022,B,Medium,1422142
abeo,Abeona Therapeutics Inc,https://static.finnhub.io/logo/33b2a5a8-80d1-11ea-8de8-00000000092a.png,https://abeonatherapeutics.com/,B,Medium,BB,Medium,BB,Medium,1,29,59,24,04/16/2022,BB,Medium,318306
abnb,Airbnb Inc,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ABNB.png,https://www.airbnb.co.in/,A,High,A,High,BBB,High,59,81,81,93,06/10/2022,A,High,1559720
abio,ARCA Biopharma Inc,https://static.finnhub.io/logo/52ec4c2e0c249a506cbce41ef284e287901cccb0a08db285aa9a9d4091ba8434.png,http://arcabio.com/,B,Medium,B,Medium,B,Medium,0,12,54,12,04/16/2022,B,Medium,907654
abmd,ABIOMED Inc,https://static.finnhub.io/logo/8b2cc7cc-80df-11ea-b8c7-00000000092a.png,https://www.abiomed.com/,A,High,BB,Medium,BB,Medium,58,32,57,57,04/16/2022,BBB,High,815094
abos,Acumen Pharmaceuticals Inc,https://static.finnhub.io/logo/f1081a3d8031ad222b050bbbcfef7a073cea50638ad028f1fd31c5ca934f3820.png,https://acumenpharm.com/,B,Medium,B,Medium,B,Medium,1,8,31,1,06/11/2022,B,Medium,1576885
absi,Absci Corp,https://static.finnhub.io/logo/d030f309b5a348085ba6297eadf507c1d7410dbf605e6147f34eec997f6f073f.png,https://www.absci.com/,B,Medium,B,Medium,B,Medium,1,13,39,6,06/11/2022,B,Medium,1672688
abtx,Allegiance Bancshares Inc,https://static.finnhub.io/logo/b34c7c52-80d2-11ea-8e19-00000000092a.png,https://ir.allegiancebank.com/,B,Medium,BB,Medium,BB,Medium,19,28,56,32,04/16/2022,BB,Medium,1642081
abus,Arbutus Biopharma Corp,https://static.finnhub.io/logo/0068df02-80ca-11ea-abb6-00000000092a.png,https://www.arbutusbio.com/,B,Medium,B,Medium,BB,Medium,1,9,66,15,04/16/2022,B,Medium,1447028
abvc,ABVC Biopharma Inc,https://static.finnhub.io/logo/2b1c9fbcfafa70dcfa10247ad6ebe12858ca5878a4c90e32840a2080a507eb3d.png,https://abvcpharma.com/,B,Medium,B,Medium,B,Medium,4,10,32,4,06/11/2022,B,Medium,1173313
acad,ACADIA Pharmaceuticals Inc,https://static.finnhub.io/logo/2d87da57d47f7a5c0225c54f67d806d3a906cec1ea63d739dad084772cf5079c.png,https://acadia.com/,B,Medium,B,Medium,BB,Medium,6,14,57,18,04/16/2022,BB,Medium,1070494
acac,Acri Capital Acquisition Corp,Logo Not Provided,Url Not Provided,B,Medium,B,Medium,BB,Medium,0,9,56,11,06/10/2022,B,Medium,1914023
accd,Accolade Inc,https://static.finnhub.io/logo/a967c80c75f9c72bb31fd3ae796a0a4e1e0dec7378ade4f78c06f10d89acf8bf.png,https://www.accolade.com,B,Medium,B,Medium,B,Medium,11,19,40,15,06/10/2022,B,Medium,1481646
acet,Adicet Bio Inc,https://static.finnhub.io/logo/ea701be36180b02128c519975a35fcca2ef8ef5cd412e65e7ff39eb054703270.png,https://www.adicetbio.com/,B,Medium,B,Medium,BB,Medium,3,10,57,14,04/16/2022,B,Medium,1720580
abcl,Abcellera Biologics Inc,https://static.finnhub.io/logo/cd950365b552eae0cadf348f427e5a4dd05974468d5803b8b63e44da362a5ee9.png,https://www.abcellera.com/,A,High,BB,Medium,BB,Medium,66,38,68,68,06/10/2022,A,High,1703057
