code,packaging_en,product_name,origins,manufacturing_places,environmental_score_grade,image_url,brands,categories
2,,Filets de poulet blanc x2,"île d’Orléans,Québec,Canada",Ancenis,unknown,https://images.openfoodfacts.org/images/products/invalid/front_en.120.400.jpg,"SoLo, selbstgemacht 2 Liter",Protein powders
3,,,,,,,,
4,Glass,Entrecôesteack - Highland Beef,"Nizozemsko,Peru",,unknown,https://images.openfoodfacts.org/images/products/invalid/front_en.135.400.jpg,"PG Tips, green organic",Nutrition drink mix
5,,,,,,,,
6,,Triple cheese puff,,,unknown,https://images.openfoodfacts.org/images/products/invalid/front_en.149.400.jpg,,"Boissons et préparations de boissons, Boissons, en:cinnamon roll"
7,,granola Bio le Chocolaté,,,unknown,https://images.openfoodfacts.org/images/products/invalid/front_en.35.400.jpg,Mg ricarica,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Fruits et produits dérivés, Produits déshydratés, Aliments à base de plantes séchées, Fruits secs"
8,,,,,unknown,https://images.openfoodfacts.org/images/products/invalid/front_fr.60.400.jpg,Zuegg,Cornish clotted cream shortbread
9,,Protein Plant Powered Wrap,,,,,Mission,"Sandwiches, Wraps, Protein"
9,,xytitol pastilles,,,unknown,https://images.openfoodfacts.org/images/products/invalid/front_en.66.400.jpg,xylimgxyling,"it:Gestione sovrappeso, it:obesità, Wrap"
10,"Plastic,Cardboard,fr:boite-en-carton,fr:film-en-plastique",xxx,,France,f,https://images.openfoodfacts.org/images/products/invalid/front_en.48.400.jpg,xxx,"Beverages and beverages preparations, Beverages, Snacks, Desserts, Sweet snacks, Biscuits and cakes, Biscuits and crackers, Biscuits, Cakes, Pound Cake, Madeleines, Plain madeleines"
11,,,,,unknown,https://images.openfoodfacts.org/images/products/invalid/front_en.21.400.jpg,"Kugler, Pyrat",
12,,Besan chilla with stuffed chciken,it:mondo,,unknown,https://images.openfoodfacts.org/images/products/invalid/front_en.22.400.jpg,Toneop,"Dietary supplements,Bodybuilding supplements,Groceries,Supplement"
13,Pot-plastique,Powdered peanut butter,,,unknown,https://images.openfoodfacts.org/images/products/invalid/front_en.40.400.jpg,Pbfit,"Snacks, Meals, Rice dishes, Risottos, Powder peanut butter"
15,"Plastic,Cardboard",Madeleines ChocoLait,,,d,https://images.openfoodfacts.org/images/products/invalid/front_fr.40.400.jpg,Apple bandit,"Snacks, Snacks sucrés, Biscuits et gâteaux, Gâteaux, Gâteaux au chocolat, Madeleines, Madeleines au chocolat"
16,,velvety vanilla cake mix,,,unknown,https://images.openfoodfacts.org/images/products/invalid/front_en.3.400.jpg,betty crocker,"Dietary supplements, Vitamins"
17,,Collagen For Her,,,unknown,https://images.openfoodfacts.org/images/products/invalid/front_en.31.400.jpg,Bodylab,
18,,Chocolate peanut butter protein,,,unknown,https://images.openfoodfacts.org/images/products/invalid/front_de.15.400.jpg,Pays Gourmand,"Fasern,Pflanzliche Lebensmittel"
19,,Erdbeeren,,,unknown,https://images.openfoodfacts.org/images/products/invalid/front_de.3.400.jpg,BeerenBrüder,
20,fr:1-boite-en-carton-a-recycler-50-sachets-individuels-a-recycler,Nesquik moins de sucre,"fr:Blé origine France,fr:Œufs origine France","Saint-Yrieix,France",d,https://images.openfoodfacts.org/images/products/invalid/front_en.77.400.jpg,Nestlé,"Snacks, Snacks sucrés, Biscuits et gâteaux, Gâteaux, Quatre-quarts, Gâteaux au chocolat, Madeleines, Madeleines au chocolat"
21,,Inulin Prebiotic Fiber,,,unknown,https://images.openfoodfacts.org/images/products/invalid/front_en.22.400.jpg,It's Just!,
22,"fr:boite-en-carton,fr:film-en-plastique",Farandole de madeleine,,,d,https://images.openfoodfacts.org/images/products/invalid/front_fr.34.400.jpg,Coca-Cola,"Snacks, Snacks sucrés, Biscuits et gâteaux, Gâteaux, Gâteaux au chocolat, Madeleines, Madeleines au chocolat, Madeleines longues"
